time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
13:41:54.786000,0, 0, 0, 0, 0, 0, 0, -273.15, -273.15, 0
13:41:56.288000,-2.604166666666667, 'off', 0, -4.464285714285714, 'off', 0, 0, -273.15, -273.15, 0
13:41:58.100000,20.66277696318019, 'off', 0, 35.94557324396035, 'off', 0, 15.999500188561797, 16.344536753523528, 15.238325297549636, 14.066878923542845
13:41:59.757000,20.66277696318019, 'off', 0, 35.94557324396035, 'off', 0, 15.999500188561797, 16.344536753523528, 15.238325297549636, 14.066878923542845
13:42:01.452000,20.764601661779082, 'off', 0, 30.18520458036587, 'off', 0, 15.196367142737529, 15.874827584308264, 13.446835420214882, 13.153625263131971
13:42:03.186000,20.764601661779082, 'off', 0, 29.661534701857285, 'off', 0, 15.530448566510245, 16.344536753523528, 13.512915198040048, 13.47929941639984
13:42:05.187000,20.713689312479634, 'off', 0, 29.748813014942048, 'off', 0, 15.999500188561797, 16.54639937998951, 14.240995938577953, 14.132286978624904
13:42:06.921000,20.764601661779082, 'off', 0, 29.48697807568776, 'off', 0, 15.798277412634434, 16.479072990359953, 14.240995938577953, 13.936139320118855
13:42:08.596000,20.764601661779082, 'off', 0, 29.399699762602992, 'off', 0, 15.86531734327184, 16.479072990359953, 14.108437480603357, 13.870806732364258
13:42:10.268000,20.764601661779082, 'off', 0, 29.31242144951823, 'off', 0, 15.530448566510245, 16.411785626359688, 13.380771544413847, 13.21872125599134
13:42:12.080000,20.713689312479634, 'off', 0, 29.92336964111158, 'off', 0, 16.20103989827004, 16.61376533016397, 13.975964075830575, 13.805498260558295
13:42:13.737000,20.713689312479634, 'off', 0, 29.92336964111158, 'off', 0, 16.20103989827004, 16.61376533016397, 13.975964075830575, 13.805498260558295
13:42:15.417000,20.560952264581296, 'off', 0, 29.748813014942048, 'off', 0, 15.329909478086506, 16.00885107893106, 13.446835420214882, 13.153625263131971
13:42:17.167000,20.713689312479634, 'off', 0, 30.18520458036587, 'off', 0, 15.999500188561797, 16.748618054213296, 13.64512461413699, 13.936139320118855
13:42:18.933000,20.560952264581296, 'off', 0, 30.09792626728111, 'off', 0, 15.731271101046104, 16.411785626359688, 13.512915198040048, 13.67495158300801
13:42:20.668000,20.713689312479634, 'off', 0, 29.137864823348696, 'off', 0, 15.463571417735523, 16.411785626359688, 13.512915198040048, 13.544495120621377
