time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
13:45:07.847000,0, 0, 0, 0, 0, 0, 0, -273.15, -273.15, 0
13:45:09.441000,20.560952264581296, 'off', 0, 35.072790113112696, 'off', 0, 14.863006696771038, 15.740941004584442, 13.711255327978506, 12.763416675740757
13:45:11.238000,20.560952264581296, 'off', 0, 29.92336964111158, 'off', 0, 14.863006696771038, 16.143015743586034, 12.918724262993464, 12.828410338593926
13:45:13.035000,20.713689312479634, 'off', 0, 28.526916631755338, 'off', 0, 14.796415282658586, 16.00885107893106, 12.852768119394057, 12.698438221767503
13:45:14.972000,20.611864613880744, 'off', 0, 28.526916631755338, 'off', 0, 14.729849520155085, 15.941821951405245, 12.852768119394057, 12.698438221767503
13:45:16.753000,20.66277696318019, 'off', 0, 29.137864823348696, 'off', 0, 15.196367142737529, 16.277325837812327, 12.984691971319194, 13.153625263131971
13:45:18.581000,20.611864613880744, 'on', 0, 28.526916631755338, 'off', 0, 14.863006696771038, 16.00885107893106, 12.918724262993464, 12.893419738951707
13:45:20.332000,20.51003991528185, 'on', 0, 29.050586510263933, 'off', 0, 15.129639499349537, 16.210152345587403, 12.984691971319194, 13.023487863081186
13:45:22.066000,20.713689312479634, 'on', 0, 28.614194944840104, 'off', 0, 14.863006696771038, 16.07591549889605, 13.05067178945933, 13.023487863081186
13:45:23.785000,20.560952264581296, 'on', 0, 28.70147325792487, 'off', 0, 15.06294016417911, 16.210152345587403, 13.380771544413847, 13.023487863081186
13:45:25.535000,20.611864613880744, 'on', 0, 29.748813014942048, 'off', 0, 15.530448566510245, 16.61376533016397, 13.512915198040048, 13.740213384332833
13:45:27.303000,20.713689312479634, 'on', 0, 28.70147325792487, 'off', 0, 14.996268606159276, 16.00885107893106, 13.116664261605479, 12.958445404713302
13:45:29.041000,20.560952264581296, 'on', 0, 29.050586510263933, 'off', 0, 14.996268606159276, 16.143015743586034, 12.918724262993464, 13.023487863081186
13:45:30.754000,20.713689312479634, 'off', 0, 29.31242144951823, 'off', 0, 15.463571417735523, 16.479072990359953, 13.777404095041277, 13.805498260558295
13:45:32.427000,20.611864613880744, 'off', 0, 28.43963831867058, 'off', 0, 14.729849520155085, 16.00885107893106, 12.852768119394057, 12.633474447294816
13:45:34.177000,20.611864613880744, 'off', 0, 28.70147325792487, 'off', 0, 15.26312362533531, 16.344536753523528, 13.64512461413699, 13.414124700706168
13:45:35.899000,20.560952264581296, 'off', 0, 28.352360005585815, 'off', 0, 14.729849520155085, 15.874827584308264, 12.786822994506167, 12.633474447294816
13:45:37.634000,20.713689312479634, 'off', 0, 28.43963831867058, 'off', 0, 14.796415282658586, 15.941821951405245, 12.852768119394057, 12.763416675740757
13:45:39.353000,20.560952264581296, 'off', 0, 29.31242144951823, 'off', 0, 15.129639499349537, 16.277325837812327, 12.984691971319194, 13.153625263131971
13:45:41.103000,20.713689312479634, 'off', 0, 28.8760298840944, 'off', 0, 14.996268606159276, 16.143015743586034, 12.918724262993464, 12.893419738951707
13:45:42.822000,20.66277696318019, 'off', 0, 29.225143136433463, 'off', 0, 15.129639499349537, 16.277325837812327, 12.852768119394057, 13.088547640589297
13:45:44.556000,20.66277696318019, 'off', 0, 28.26508169250105, 'off', 0, 14.796415282658586, 16.00885107893106, 12.852768119394057, 12.763416675740757
13:45:46.275000,20.66277696318019, 'off', 0, 29.050586510263933, 'off', 0, 15.530448566510245, 16.479072990359953, 13.711255327978506, 13.805498260558295
13:45:48.001000,20.713689312479634, 'off', 0, 28.352360005585815, 'off', 0, 14.729849520155085, 15.807867445879765, 12.918724262993464, 12.633474447294816
13:45:49.736000,20.66277696318019, 'off', 0, 29.137864823348696, 'off', 0, 15.129639499349537, 16.210152345587403, 12.852768119394057, 13.088547640589297
13:45:51.486000,20.560952264581296, 'off', 0, 29.31242144951823, 'off', 0, 15.59735720924391, 16.479072990359953, 13.711255327978506, 13.805498260558295
