time,'Sample Temperature 4: T (C)', 'Heater 1: T (C)', 'Heat Element 2', 'Heat Element 1', 'Heater 1: enable', 'Sample Temperature 3: T (C)', 'Steady State: State ()', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 5: T (C)', 'Heater 2: T (C)'
16:52:06.822000,0.0, 0.0, 0, 0, 0, 0.0, 0, 0, 0.0, 0.0, 0.0
16:52:06.847000,0.0, 0.0, 'on', 'on', 0, 0.0, 0, 0, 0.0, 0.0, 0.0
