time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
23:16.4,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:16.7,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:17.0,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:17.3,23.44116281, 'off',0,20.54409218, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:17.7,23.44116281, 'off',0,20.55597043, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:17.9,23.44116281, 'off',0,20.56784868, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:18.3,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:18.6,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:18.8,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:19.1,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:19.3,23.44116281, 'off',0,20.57972693, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:19.8,23.44116281, 'off',0,20.59160518, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:20.0,23.44116281, 'off',0,20.59160518, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Varying'
23:20.3,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady'
23:20.6,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady'
23:20.9,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady'
23:21.2,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady'
23:21.6,23.44116281, 'off',0,20.60348344, 'off',0,-25.89092862,-25.95822219,-16.99845665,-24.86428869, 'Steady'
