time,'Heater 1: T (C)', 'Heat Element 1', 'Heater 1: enable', 'Heater 2: T (C)', 'Heat Element 2', 'Heater 2: enable', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)', 'Steady State: State ()'
14:39.2,34.2, 'off', 'on',28.83, 'off',0,33.36,30.1,32.17,31.23, 'Steady'
14:39.6,34.21, 'off', 'on',28.83, 'off',0,33.36,30.1,32.18,31.23, 'Steady'
14:39.9,34.21, 'off', 'on',28.82, 'off',0,33.36,30.1,32.18,31.23, 'Steady'
14:40.2,34.21, 'off', 'on',28.83, 'off',0,33.36,30.1,32.18,31.23, 'Steady'
14:40.5,34.22, 'off', 'on',28.83, 'off',0,33.36,30.1,32.18,31.23, 'Steady'
14:40.8,34.22, 'off', 'on',28.83, 'off',0,33.36,30.11,32.18,31.23, 'Steady'
14:41.1,34.24, 'on', 'on',28.83, 'off',0,33.36,30.12,32.17,31.23, 'Steady'
14:41.5,34.25, 'on', 'on',28.84, 'off',0,33.36,30.13,32.16,31.23, 'Steady'
14:41.8,34.27, 'off', 'on',28.84, 'off',0,33.36,30.13,32.16,31.23, 'Steady'
14:42.1,34.28, 'off', 'on',28.84, 'off',0,33.36,30.14,32.16,31.23, 'Steady'
14:42.4,34.3, 'off', 'on',28.85, 'off',0,33.36,30.14,32.16,31.23, 'Steady'
14:42.7,34.31, 'off', 'on',28.85, 'off',0,33.36,30.14,32.16,31.23, 'Steady'
14:43.0,34.31, 'off', 'on',28.85, 'off',0,33.35,30.15,32.15,31.23, 'Steady'
14:43.4,34.32, 'off', 'on',28.85, 'off',0,33.35,30.14,32.15,31.23, 'Steady'
14:43.7,34.33, 'off', 'on',28.85, 'off',0,33.35,30.14,32.16,31.24, 'Steady'
14:44.0,34.34, 'off', 'on',28.85, 'off',0,33.35,30.14,32.17,31.24, 'Steady'
14:44.3,34.36, 'off', 'on',28.85, 'off',0,33.35,30.14,32.17,31.24, 'Steady'
14:44.6,34.36, 'off', 'on',28.85, 'off',0,33.35,30.14,32.17,31.24, 'Steady'
14:44.9,34.37, 'off', 'on',28.85, 'off',0,33.35,30.14,32.17,31.24, 'Steady'
14:45.2,34.38, 'off', 'on',28.85, 'off',0,33.35,30.15,32.17,31.24, 'Steady'
14:45.6,34.39, 'off', 'on',28.85, 'off',0,33.34,30.15,32.17,31.24, 'Steady'
14:45.9,34.39, 'off', 'on',28.85, 'off',0,33.34,30.15,32.18,31.24, 'Steady'
14:46.2,34.4, 'off', 'on',28.85, 'off',0,33.34,30.14,32.17,31.24, 'Steady'
14:46.5,34.4, 'off', 'on',28.85, 'off',0,33.34,30.14,32.18,31.25, 'Steady'
14:46.8,34.41, 'off', 'on',28.85, 'off',0,33.34,30.14,32.18,31.25, 'Steady'
