time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
48:04.8,25.86,25.49,25.44,25.43,25.23,25.25,,,,,,,,,,,,,
48:05.3,25.85,25.49,25.44,25.42,25.24,25.25,,,,,,,,,,,,,
48:05.8,25.85,25.5,25.44,25.42,25.24,25.25,,,,,,,,,,,,,
48:06.3,25.85,25.5,25.44,25.42,25.24,25.25,,,,,,,,,,,,,
48:06.8,25.85,25.49,25.44,25.41,25.24,25.25,,,,,,,,,,,,,
48:07.3,25.85,25.49,25.45,25.41,25.25,25.25,,,,,,,,,,,,,
48:07.8,25.85,25.49,25.45,25.41,25.25,25.25,,,,,,,,,,,,,
48:08.3,25.85,25.49,25.45,25.41,25.25,25.25,,,,,,,,,,,,,
48:08.8,25.85,25.49,25.45,25.41,25.25,25.25,,,,,,,,,,,,,
48:09.3,25.85,25.49,25.45,25.41,25.25,25.25,,,,,,,,,,,,,
48:09.8,25.85,25.49,25.46,25.41,25.25,25.25,,,,,,,,,,,,,
48:10.4,25.85,25.49,25.46,25.41,25.25,25.25,,,,,,,,,,,,,
48:10.9,25.85,25.49,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:11.4,25.85,25.49,25.47,25.41,25.26,25.25,,,,,,,,,,,,,
48:11.9,25.85,25.49,25.47,25.41,25.26,25.25,,,,,,,,,,,,,
48:12.3,25.85,25.49,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:12.8,25.85,25.49,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:13.3,25.85,25.49,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:13.8,25.85,25.5,25.47,25.41,25.24,25.25,,,,,,,,,,,,,
48:14.3,25.85,25.5,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:14.8,25.85,25.5,25.47,25.41,25.25,25.25,,,,,,,,,,,,,
48:15.3,25.85,25.51,25.47,25.41,25.24,25.25,,,,,,,,,,,,,
48:15.8,25.85,25.52,25.47,25.41,25.24,25.25,,,,,,,,,,,,,
48:16.3,25.85,25.52,25.47,25.41,25.24,25.25,,,,,,,,,,,,,
48:16.8,25.85,25.52,25.47,25.42,25.24,25.25,,,,,,,,,,,,,
48:17.3,25.84,25.51,25.48,25.42,25.24,25.25,,,,,,,,,,,,,
48:17.8,25.84,25.51,25.49,25.43,25.23,25.25,,,,,,,,,,,,,
48:18.3,25.84,25.51,25.49,25.42,25.24,25.25,,,,,,,,,,,,,
48:18.8,25.84,25.51,25.49,25.42,25.23,25.25,,,,,,,,,,,,,
48:19.3,25.84,25.51,25.49,25.42,25.23,25.25,,,,,,,,,,,,,
48:19.7,25.84,25.51,25.49,25.42,25.23,25.25,,,,,,,,,,,,,
48:20.2,25.83,25.51,25.49,25.42,25.23,25.25,,,,,,,,,,,,,
48:20.7,25.84,25.51,25.49,25.42,25.23,25.25,,,,,,,,,,,,,
48:21.2,25.84,25.51,25.5,25.43,25.23,25.25,,,,,,,,,,,,,
48:21.8,25.83,25.52,25.5,25.42,25.23,25.25,,,,,,,,,,,,,
48:22.3,25.83,25.52,25.5,25.42,25.23,25.25,,,,,,,,,,,,,
48:22.8,25.83,25.52,25.5,25.42,25.23,25.25,,,,,,,,,,,,,
48:23.3,25.83,25.51,25.51,25.42,25.23,25.25,,,,,,,,,,,,,
48:23.8,25.82,25.51,25.51,25.41,25.24,25.25,,,,,,,,,,,,,
48:24.3,25.82,25.51,25.52,25.41,25.25,25.25,,,,,,,,,,,,,
48:24.8,25.81,25.5,25.52,25.42,25.25,25.26,,,,,,,,,,,,,
48:25.3,25.81,25.49,25.52,25.41,25.25,25.26,,,,,,,,,,,,,
48:25.8,25.81,25.49,25.52,25.41,25.26,25.26,,,,,,,,,,,,,
48:26.3,25.81,25.49,25.52,25.41,25.26,25.26,,,,,,,,,,,,,
48:26.8,25.8,25.48,25.52,25.41,25.26,25.26,,,,,,,,,,,,,
48:27.3,25.8,25.48,25.52,25.41,25.26,25.26,,,,,,,,,,,,,
48:27.8,25.81,25.49,25.52,25.42,25.26,25.26,,,,,,,,,,,,,
48:28.3,25.81,25.49,25.52,25.42,25.26,25.26,,,,,,,,,,,,,
48:28.8,25.81,25.49,25.52,25.42,25.26,25.26,,,,,,,,,,,,,
48:29.3,25.8,25.49,25.52,25.42,25.26,25.26,,,,,,,,,,,,,
48:29.8,25.8,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:30.3,25.8,25.5,25.53,25.42,25.26,25.25,,,,,,,,,,,,,
48:30.8,25.8,25.5,25.53,25.42,25.26,25.25,,,,,,,,,,,,,
48:31.3,25.8,25.5,25.53,25.42,25.26,25.25,,,,,,,,,,,,,
48:31.8,25.79,25.5,25.53,25.42,25.26,25.25,,,,,,,,,,,,,
48:32.3,25.79,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:32.8,25.79,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:33.3,25.79,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:33.8,25.79,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:34.3,25.78,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:34.9,25.78,25.5,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:35.3,25.78,25.49,25.53,25.42,25.26,25.26,,,,,,,,,,,,,
48:35.8,25.78,25.49,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:36.3,25.78,25.49,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:36.8,25.78,25.49,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:37.3,25.78,25.5,25.53,25.43,25.26,25.27,,,,,,,,,,,,,
48:37.9,25.78,25.5,25.53,25.43,25.26,25.27,,,,,,,,,,,,,
48:38.3,25.78,25.5,25.53,25.43,25.26,25.27,,,,,,,,,,,,,
48:38.8,25.78,25.5,25.53,25.43,25.26,25.27,,,,,,,,,,,,,
48:39.3,25.78,25.51,25.53,25.44,25.25,25.27,,,,,,,,,,,,,
48:39.8,25.78,25.51,25.53,25.44,25.25,25.27,,,,,,,,,,,,,
48:40.3,25.78,25.51,25.53,25.44,25.25,25.27,,,,,,,,,,,,,
48:40.8,25.78,25.51,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:41.4,25.77,25.51,25.53,25.43,25.26,25.28,,,,,,,,,,,,,
48:41.8,25.77,25.51,25.53,25.43,25.26,25.28,,,,,,,,,,,,,
48:42.4,25.77,25.51,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:42.8,25.77,25.51,25.53,25.42,25.25,25.28,,,,,,,,,,,,,
48:43.4,25.77,25.51,25.53,25.42,25.25,25.28,,,,,,,,,,,,,
48:43.8,25.77,25.51,25.53,25.42,25.25,25.28,,,,,,,,,,,,,
48:44.4,25.77,25.51,25.53,25.43,25.24,25.28,,,,,,,,,,,,,
48:44.8,25.77,25.51,25.53,25.43,25.24,25.27,,,,,,,,,,,,,
48:45.3,25.77,25.51,25.53,25.43,25.23,25.27,,,,,,,,,,,,,
48:45.9,25.77,25.51,25.53,25.43,25.23,25.27,,,,,,,,,,,,,
48:46.3,25.77,25.51,25.53,25.43,25.23,25.27,,,,,,,,,,,,,
48:46.8,25.77,25.51,25.53,25.43,25.24,25.27,,,,,,,,,,,,,
48:47.3,25.77,25.51,25.53,25.43,25.24,25.27,,,,,,,,,,,,,
48:47.8,25.77,25.51,25.53,25.43,25.25,25.27,,,,,,,,,,,,,
48:48.3,25.77,25.51,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:48.8,25.76,25.51,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:49.3,25.76,25.51,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:49.8,25.76,25.51,25.53,25.42,25.26,25.27,,,,,,,,,,,,,
48:50.3,25.76,25.5,25.53,25.41,25.26,25.27,,,,,,,,,,,,,
48:50.8,25.76,25.5,25.53,25.41,25.25,25.27,,,,,,,,,,,,,
48:51.3,25.77,25.5,25.53,25.42,25.25,25.27,,,,,,,,,,,,,
48:51.8,25.77,25.5,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:52.3,25.77,25.5,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:52.8,25.77,25.5,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:53.3,25.77,25.5,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:53.8,25.77,25.5,25.53,25.43,25.25,25.28,,,,,,,,,,,,,
48:54.3,25.76,25.5,25.53,25.42,25.26,25.28,,,,,,,,,,,,,
48:54.9,25.76,25.5,25.53,25.43,25.26,25.28,,,,,,,,,,,,,
48:55.3,25.76,25.5,25.53,25.43,25.27,25.29,,,,,,,,,,,,,
48:55.8,25.76,25.5,25.53,25.43,25.27,25.29,,,,,,,,,,,,,
48:56.4,25.76,25.5,25.53,25.43,25.27,25.29,,,,,,,,,,,,,
48:56.8,25.76,25.51,25.53,25.43,25.26,25.28,,,,,,,,,,,,,
48:57.4,25.76,25.51,25.53,25.43,25.26,25.29,,,,,,,,,,,,,
48:57.8,25.76,25.51,25.53,25.43,25.26,25.29,,,,,,,,,,,,,
48:58.3,25.76,25.51,25.53,25.43,25.26,25.29,,,,,,,,,,,,,
48:58.8,25.76,25.51,25.53,25.43,25.26,25.29,,,,,,,,,,,,,
48:59.3,25.76,25.51,25.53,25.43,25.25,25.29,,,,,,,,,,,,,
48:59.8,25.76,25.51,25.53,25.43,25.25,25.29,,,,,,,,,,,,,
49:00.3,25.76,25.52,25.53,25.44,25.25,25.29,,,,,,,,,,,,,
49:00.8,25.76,25.52,25.53,25.44,25.25,25.29,,,,,,,,,,,,,
49:01.4,25.76,25.51,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:01.8,25.76,25.51,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:02.4,25.76,25.51,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:02.8,25.76,25.51,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:03.3,25.76,25.51,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:03.9,25.76,25.5,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:04.3,25.76,25.5,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:04.9,25.76,25.5,25.53,25.43,25.26,25.31,,,,,,,,,,,,,
49:05.3,25.76,25.5,25.53,25.43,25.27,25.31,,,,,,,,,,,,,
49:05.8,25.76,25.51,25.53,25.42,25.27,25.31,,,,,,,,,,,,,
49:06.3,25.76,25.51,25.53,25.41,25.27,25.31,,,,,,,,,,,,,
49:06.8,25.76,25.51,25.53,25.41,25.27,25.31,,,,,,,,,,,,,
49:07.3,25.76,25.51,25.53,25.42,25.27,25.3,,,,,,,,,,,,,
49:07.8,25.76,25.51,25.53,25.42,25.27,25.3,,,,,,,,,,,,,
49:08.3,25.76,25.52,25.53,25.42,25.26,25.3,,,,,,,,,,,,,
49:08.8,25.76,25.52,25.53,25.41,25.25,25.3,,,,,,,,,,,,,
49:09.3,25.76,25.52,25.53,25.41,25.25,25.3,,,,,,,,,,,,,
49:09.9,25.76,25.52,25.53,25.41,25.25,25.3,,,,,,,,,,,,,
49:10.3,25.76,25.52,25.53,25.42,25.25,25.3,,,,,,,,,,,,,
49:10.8,25.76,25.52,25.53,25.43,25.24,25.3,,,,,,,,,,,,,
49:11.4,25.76,25.52,25.53,25.43,25.24,25.3,,,,,,,,,,,,,
49:11.8,25.76,25.52,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:12.3,25.76,25.52,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:12.8,25.76,25.53,25.53,25.43,25.25,25.3,,,,,,,,,,,,,
49:13.3,25.76,25.52,25.53,25.43,25.26,25.31,,,,,,,,,,,,,
49:13.8,25.76,25.52,25.53,25.43,25.26,25.31,,,,,,,,,,,,,
49:14.1,25.76,25.52,25.54,25.43,25.26,25.31,,,,,,,,,,,,,
49:14.6,25.76,25.52,25.54,25.43,25.26,25.31,,,,,,,,,,,,,
49:15.0,25.76,25.52,25.54,25.43,25.27,25.31,,,,,,,,,,,,,
49:15.6,25.76,25.52,25.54,25.43,25.27,25.31,,,,,,,,,,,,,
49:16.1,25.76,25.52,25.54,25.43,25.27,25.32,,,,,,,,,,,,,
49:16.6,25.76,25.52,25.54,25.43,25.27,25.32,,,,,,,,,,,,,
49:17.1,25.76,25.51,25.54,25.43,25.27,25.32,,,,,,,,,,,,,
49:17.6,25.76,25.51,25.54,25.43,25.27,25.32,,,,,,,,,,,,,
49:18.1,25.76,25.51,25.54,25.44,25.26,25.32,,,,,,,,,,,,,
49:18.6,25.76,25.52,25.55,25.44,25.25,25.32,,,,,,,,,,,,,
49:19.1,25.76,25.52,25.55,25.44,25.25,25.31,,,,,,,,,,,,,
49:19.6,25.76,25.52,25.55,25.44,25.24,25.31,,,,,,,,,,,,,
49:20.1,25.76,25.52,25.55,25.44,25.25,25.32,,,,,,,,,,,,,
49:20.5,25.76,25.52,25.55,25.44,25.25,25.32,,,,,,,,,,,,,
49:21.1,25.76,25.52,25.55,25.44,25.24,25.33,,,,,,,,,,,,,
49:21.6,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:22.1,25.76,25.52,25.55,25.45,25.23,25.32,,,,,,,,,,,,,
49:22.6,25.76,25.52,25.55,25.45,25.23,25.32,,,,,,,,,,,,,
49:23.0,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:23.6,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:24.1,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:24.6,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:25.1,25.76,25.52,25.55,25.45,25.24,25.32,,,,,,,,,,,,,
49:25.6,25.76,25.52,25.54,25.44,25.25,25.32,,,,,,,,,,,,,
49:26.1,25.76,25.52,25.54,25.44,25.26,25.32,,,,,,,,,,,,,
49:26.6,25.76,25.53,25.54,25.44,25.26,25.32,,,,,,,,,,,,,
49:27.1,25.76,25.52,25.54,25.44,25.27,25.32,,,,,,,,,,,,,
49:27.6,25.76,25.52,25.54,25.44,25.27,25.33,,,,,,,,,,,,,
49:28.1,25.76,25.52,25.54,25.44,25.28,25.33,,,,,,,,,,,,,
49:28.5,25.76,25.52,25.54,25.44,25.28,25.34,,,,,,,,,,,,,
49:29.1,25.76,25.52,25.54,25.43,25.27,25.34,,,,,,,,,,,,,
49:29.6,25.76,25.52,25.54,25.43,25.27,25.33,,,,,,,,,,,,,
49:30.1,25.76,25.52,25.54,25.44,25.27,25.33,,,,,,,,,,,,,
49:30.6,25.76,25.52,25.54,25.44,25.27,25.34,,,,,,,,,,,,,
49:31.1,25.76,25.52,25.54,25.44,25.27,25.34,,,,,,,,,,,,,
49:31.5,25.76,25.52,25.55,25.44,25.27,25.34,,,,,,,,,,,,,
49:32.1,25.76,25.52,25.55,25.44,25.26,25.34,,,,,,,,,,,,,
49:32.6,25.76,25.52,25.55,25.43,25.26,25.34,,,,,,,,,,,,,
49:33.0,25.76,25.52,25.54,25.42,25.25,25.33,,,,,,,,,,,,,
49:33.6,25.76,25.52,25.54,25.43,25.26,25.34,,,,,,,,,,,,,
49:34.1,25.76,25.52,25.54,25.43,25.26,25.34,,,,,,,,,,,,,
49:34.5,25.76,25.52,25.54,25.42,25.26,25.34,,,,,,,,,,,,,
49:35.1,25.76,25.52,25.55,25.42,25.26,25.34,,,,,,,,,,,,,
49:35.6,25.76,25.52,25.55,25.42,25.26,25.34,,,,,,,,,,,,,
49:36.1,25.76,25.52,25.55,25.42,25.26,25.34,,,,,,,,,,,,,
49:36.6,25.76,25.52,25.55,25.42,25.26,25.34,,,,,,,,,,,,,
49:37.1,25.76,25.52,25.55,25.42,25.26,25.34,,,,,,,,,,,,,
49:37.6,25.76,25.53,25.55,25.43,25.26,25.34,,,,,,,,,,,,,
49:38.1,25.76,25.53,25.55,25.43,25.26,25.34,,,,,,,,,,,,,
49:38.7,25.76,25.53,25.55,25.43,25.26,25.34,,,,,,,,,,,,,
49:39.1,25.76,25.52,25.55,25.43,25.26,25.34,,,,,,,,,,,,,
49:39.7,25.76,25.53,25.55,25.43,25.25,25.34,,,,,,,,,,,,,
49:40.2,25.76,25.53,25.55,25.43,25.25,25.34,,,,,,,,,,,,,
49:40.7,25.76,25.53,25.55,25.44,25.25,25.34,,,,,,,,,,,,,
49:41.2,25.76,25.53,25.55,25.44,25.25,25.34,,,,,,,,,,,,,
49:41.7,25.76,25.52,25.55,25.45,25.25,25.34,,,,,,,,,,,,,
49:42.2,25.76,25.52,25.55,25.44,25.26,25.34,,,,,,,,,,,,,
49:42.7,25.76,25.52,25.55,25.43,25.26,25.35,,,,,,,,,,,,,
49:43.2,25.76,25.51,25.55,25.44,25.26,25.35,,,,,,,,,,,,,
49:43.7,25.76,25.52,25.55,25.44,25.26,25.35,,,,,,,,,,,,,
49:44.2,25.76,25.51,25.55,25.44,25.26,25.35,,,,,,,,,,,,,
49:44.8,25.76,25.51,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:45.3,25.76,25.51,25.54,25.44,25.26,25.35,,,,,,,,,,,,,
49:45.8,25.76,25.51,25.54,25.43,25.26,25.35,,,,,,,,,,,,,
49:46.3,25.76,25.51,25.54,25.43,25.26,25.36,,,,,,,,,,,,,
49:46.8,25.76,25.51,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:47.3,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:47.8,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:48.4,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:48.8,25.76,25.53,25.55,25.44,25.27,25.37,,,,,,,,,,,,,
49:49.3,25.76,25.52,25.55,25.44,25.27,25.36,,,,,,,,,,,,,
49:49.9,25.76,25.52,25.55,25.44,25.27,25.36,,,,,,,,,,,,,
49:50.3,25.76,25.53,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:50.7,25.76,25.53,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:51.3,25.76,25.53,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:51.7,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:52.3,25.76,25.53,25.56,25.44,25.27,25.36,,,,,,,,,,,,,
49:52.8,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:53.2,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:53.7,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:54.2,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:54.7,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:55.2,25.76,25.53,25.56,25.44,25.26,25.36,,,,,,,,,,,,,
49:55.7,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:56.2,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:56.7,25.76,25.53,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:57.2,25.76,25.52,25.55,25.44,25.26,25.36,,,,,,,,,,,,,
49:57.6,25.76,25.52,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
49:58.1,25.76,25.52,25.55,25.44,25.27,25.37,,,,,,,,,,,,,
49:58.5,25.76,25.52,25.55,25.44,25.27,25.37,,,,,,,,,,,,,
49:59.0,25.76,25.52,25.56,25.44,25.27,25.38,,,,,,,,,,,,,
49:59.5,25.76,25.52,25.56,25.44,25.28,25.38,,,,,,,,,,,,,
50:00.0,25.76,25.52,25.56,25.44,25.28,25.38,,,,,,,,,,,,,
50:00.5,25.76,25.52,25.56,25.44,25.28,25.38,,,,,,,,,,,,,
50:01.0,25.76,25.52,25.56,25.44,25.28,25.38,,,,,,,,,,,,,
50:01.5,25.76,25.52,25.56,25.44,25.28,25.38,,,,,,,,,,,,,
50:02.0,25.76,25.52,25.56,25.44,25.27,25.38,,,,,,,,,,,,,
50:02.5,25.76,25.52,25.56,25.44,25.27,25.37,,,,,,,,,,,,,
50:03.0,25.76,25.52,25.56,25.45,25.27,25.38,,,,,,,,,,,,,
50:03.5,25.76,25.52,25.56,25.45,25.27,25.37,,,,,,,,,,,,,
50:04.0,25.76,25.52,25.56,25.45,25.27,25.37,,,,,,,,,,,,,
50:04.6,25.76,25.53,25.55,25.44,25.27,25.37,,,,,,,,,,,,,
50:05.0,25.76,25.52,25.56,25.45,25.27,25.37,,,,,,,,,,,,,
50:05.5,25.76,25.52,25.56,25.45,25.27,25.38,,,,,,,,,,,,,
50:06.0,25.76,25.53,25.56,25.45,25.26,25.37,,,,,,,,,,,,,
50:06.5,25.76,25.53,25.56,25.45,25.26,25.37,,,,,,,,,,,,,
50:07.0,25.76,25.53,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:07.5,25.76,25.53,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:08.0,25.76,25.53,25.56,25.45,25.26,25.37,,,,,,,,,,,,,
50:08.5,25.76,25.53,25.55,25.45,25.25,25.37,,,,,,,,,,,,,
50:08.9,25.76,25.53,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:09.4,25.76,25.53,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:09.9,25.76,25.53,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:10.4,25.76,25.53,25.55,25.45,25.26,25.38,,,,,,,,,,,,,
50:10.9,25.76,25.53,25.55,25.45,25.27,25.38,,,,,,,,,,,,,
50:11.3,25.76,25.53,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:11.8,25.76,25.53,25.55,25.45,25.27,25.39,,,,,,,,,,,,,
50:12.2,25.76,25.53,25.55,25.45,25.27,25.39,,,,,,,,,,,,,
50:12.7,25.76,25.54,25.55,25.45,25.27,25.38,,,,,,,,,,,,,
50:13.2,25.76,25.53,25.55,25.45,25.26,25.39,,,,,,,,,,,,,
50:13.7,25.76,25.53,25.55,25.45,25.26,25.38,,,,,,,,,,,,,
50:14.1,25.76,25.54,25.55,25.45,25.26,25.38,,,,,,,,,,,,,
50:14.6,25.76,25.54,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:15.0,25.76,25.54,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
50:15.6,25.76,25.54,25.55,25.45,25.25,25.37,,,,,,,,,,,,,
50:16.1,25.76,25.55,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:16.6,25.76,25.55,25.55,25.45,25.26,25.37,,,,,,,,,,,,,
50:17.0,25.76,25.54,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
50:17.5,25.76,25.55,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
50:18.0,25.76,25.55,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
50:18.5,25.76,25.54,25.55,25.44,25.26,25.37,,,,,,,,,,,,,
50:19.0,25.76,25.54,25.56,25.44,25.26,25.38,,,,,,,,,,,,,
50:19.5,25.76,25.54,25.56,25.45,25.26,25.38,,,,,,,,,,,,,
50:19.9,25.76,25.54,25.56,25.45,25.26,25.38,,,,,,,,,,,,,
50:20.4,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:21.0,25.76,25.53,25.56,25.44,25.27,25.39,,,,,,,,,,,,,
50:21.4,25.76,25.53,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:21.9,25.76,25.53,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:22.4,25.76,25.53,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:22.9,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:23.4,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:23.8,25.76,25.54,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:24.4,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:24.8,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:25.4,25.76,25.54,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:25.8,25.76,25.54,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:26.3,25.76,25.54,25.56,25.45,25.26,25.39,,,,,,,,,,,,,
50:26.7,25.76,25.53,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:27.2,25.76,25.53,25.57,25.45,25.27,25.39,,,,,,,,,,,,,
50:27.7,25.76,25.53,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:28.2,25.76,25.53,25.56,25.45,25.28,25.39,,,,,,,,,,,,,
50:28.7,25.76,25.53,25.56,25.45,25.28,25.39,,,,,,,,,,,,,
50:29.2,25.76,25.53,25.56,25.45,25.28,25.39,,,,,,,,,,,,,
50:29.6,25.76,25.53,25.56,25.46,25.27,25.39,,,,,,,,,,,,,
50:30.0,25.76,25.54,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:30.5,25.76,25.53,25.56,25.46,25.27,25.39,,,,,,,,,,,,,
50:31.0,25.76,25.54,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:31.5,25.76,25.53,25.56,25.46,25.27,25.39,,,,,,,,,,,,,
50:32.0,25.76,25.54,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:32.5,25.76,25.54,25.56,25.46,25.25,25.39,,,,,,,,,,,,,
50:33.0,25.76,25.54,25.56,25.46,25.25,25.39,,,,,,,,,,,,,
50:33.5,25.76,25.54,25.56,25.46,25.26,25.4,,,,,,,,,,,,,
50:34.0,25.76,25.54,25.56,25.46,25.26,25.39,,,,,,,,,,,,,
50:34.4,25.76,25.54,25.56,25.46,25.27,25.4,,,,,,,,,,,,,
50:34.9,25.76,25.54,25.56,25.45,25.26,25.4,,,,,,,,,,,,,
50:35.4,25.76,25.54,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:35.8,25.76,25.54,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:36.3,25.76,25.54,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:36.8,25.76,25.54,25.56,25.45,25.27,25.39,,,,,,,,,,,,,
50:37.3,25.76,25.55,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:37.7,25.76,25.55,25.56,25.45,25.27,25.4,,,,,,,,,,,,,
50:38.2,25.76,25.55,25.56,25.46,25.27,25.4,,,,,,,,,,,,,
50:38.7,25.76,25.55,25.56,25.46,25.27,25.4,,,,,,,,,,,,,
50:39.2,25.76,25.55,25.56,25.46,25.27,25.4,,,,,,,,,,,,,
50:39.7,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:40.2,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:40.7,25.76,25.54,25.57,25.46,25.27,25.41,,,,,,,,,,,,,
50:41.2,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:41.7,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:42.2,25.76,25.54,25.57,25.45,25.26,25.4,,,,,,,,,,,,,
50:42.7,25.76,25.54,25.57,25.45,25.27,25.4,,,,,,,,,,,,,
50:43.3,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:43.7,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
50:44.2,25.76,25.54,25.57,25.46,25.27,25.4,,,,,,,,,,,,,
