time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)',,,,,,,,,,,,,
46:03.2,25.43,25.4,25.33,25.4,25.22,25.25,,,,,,,,,,,,,
46:03.7,25.43,25.4,25.33,25.4,25.22,25.25,,,,,,,,,,,,,
46:04.2,25.43,25.4,25.33,25.4,25.23,25.25,,,,,,,,,,,,,
46:04.8,25.43,25.4,25.33,25.4,25.23,25.25,,,,,,,,,,,,,
46:05.3,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:05.8,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:06.3,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:06.8,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:07.3,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:07.8,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:08.3,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:08.8,25.43,25.4,25.32,25.41,25.25,25.25,,,,,,,,,,,,,
46:09.3,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:09.8,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:10.3,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:10.8,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:11.3,25.43,25.4,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:11.8,25.43,25.4,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:12.3,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:12.8,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:13.3,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:13.8,25.42,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:14.3,25.42,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:14.8,25.42,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:15.3,25.42,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:16.0,25.42,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:16.5,25.42,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:17.0,25.42,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:17.6,25.43,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:18.1,25.43,25.39,25.32,25.4,25.24,25.25,,,,,,,,,,,,,
46:18.6,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:19.1,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:19.7,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:20.2,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:20.7,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:21.2,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:21.7,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:22.3,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:22.8,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:23.3,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:23.8,25.43,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:24.2,25.43,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:24.8,25.43,25.38,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:25.2,25.43,25.39,25.32,25.4,25.25,25.25,,,,,,,,,,,,,
46:25.7,25.43,25.39,25.32,25.41,25.25,25.25,,,,,,,,,,,,,
46:26.2,25.43,25.39,25.33,25.41,25.26,25.25,,,,,,,,,,,,,
46:26.8,25.43,25.39,25.32,25.4,25.26,25.25,,,,,,,,,,,,,
46:27.3,25.43,25.39,25.32,25.4,25.26,25.25,,,,,,,,,,,,,
46:27.8,25.43,25.39,25.33,25.41,25.25,25.25,,,,,,,,,,,,,
46:28.3,25.43,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:28.8,25.43,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:29.3,25.43,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:29.8,25.43,25.4,25.33,25.42,25.24,25.25,,,,,,,,,,,,,
46:30.3,25.43,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:30.8,25.43,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:31.3,25.42,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:31.7,25.42,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:32.3,25.42,25.39,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:32.8,25.42,25.39,25.33,25.4,25.24,25.25,,,,,,,,,,,,,
46:33.2,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:33.8,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:34.3,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:34.8,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:35.3,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:35.8,25.42,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:36.3,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:36.8,25.43,25.39,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:37.2,25.43,25.39,25.33,25.4,25.24,25.25,,,,,,,,,,,,,
46:37.8,25.43,25.39,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
46:38.3,25.43,25.39,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
46:38.8,25.43,25.39,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
46:39.3,25.44,25.39,25.32,25.41,25.24,25.25,,,,,,,,,,,,,
46:39.8,25.44,25.4,25.32,25.42,25.23,25.25,,,,,,,,,,,,,
46:40.3,25.44,25.4,25.33,25.42,25.23,25.25,,,,,,,,,,,,,
46:40.8,25.44,25.4,25.33,25.42,25.23,25.25,,,,,,,,,,,,,
46:41.2,25.44,25.4,25.33,25.43,25.23,25.25,,,,,,,,,,,,,
46:41.8,25.43,25.4,25.33,25.43,25.23,25.25,,,,,,,,,,,,,
46:42.3,25.43,25.4,25.33,25.42,25.24,25.25,,,,,,,,,,,,,
46:42.8,25.43,25.4,25.33,25.42,25.24,25.25,,,,,,,,,,,,,
46:43.3,25.43,25.4,25.33,25.42,25.24,25.25,,,,,,,,,,,,,
46:43.8,25.43,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:44.3,25.43,25.4,25.33,25.41,25.24,25.25,,,,,,,,,,,,,
46:44.8,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:45.3,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:45.8,25.43,25.4,25.33,25.4,25.25,25.25,,,,,,,,,,,,,
46:46.3,25.43,25.4,25.33,25.4,25.24,25.25,,,,,,,,,,,,,
46:46.8,25.43,25.39,25.33,25.4,25.24,25.25,,,,,,,,,,,,,
