time,'Heater 1: T (C)', 'Heater 2: T (C)', 'Sample Temperature 1: T (C)', 'Sample Temperature 2: T (C)', 'Sample Temperature 3: T (C)', 'Sample Temperature 4: T (C)'
38:12.3,3918,3897,3896,3893.2,3913.6,3896
38:12.7,3918,3897.2,3896,3893.2,3913.8,3896
38:13.1,3917.8,3897.2,3896,3893.2,3914.2,3896
38:13.5,3918.6,3897.2,3896,3893.4,3913.8,3896
38:13.9,3917.8,3897,3896,3893.4,3914,3896
38:14.3,3917.2,3897,3896,3893,3914,3896
38:14.7,3917,3897,3896,3893.4,3914.2,3896
38:15.1,3917,3897,3896,3893.4,3914.2,3896
38:15.5,3917.4,3897,3896,3893.8,3914.4,3896
38:15.9,3916.8,3897,3896,3893.4,3914.4,3896
38:16.3,3916.6,3897,3896,3893.4,3914.8,3896
38:16.7,3916.6,3897,3896,3893.2,3914.4,3896
38:17.1,3916.6,3897,3896,3893.2,3915,3896
38:17.4,3917.2,3897.2,3896,3893.2,3915,3896
38:17.8,3917.6,3897.2,3896,3893.4,3915.8,3896
38:18.2,3918.2,3897.4,3896,3893.6,3915.6,3896
38:18.6,3918.6,3897.8,3896,3893.6,3916,3896
38:19.0,3918.4,3897.8,3896,3893.6,3915.8,3896
38:19.5,3918.6,3897.6,3896,3893.8,3916.4,3896
38:19.8,3919,3898,3896,3893.6,3916,3896
38:20.2,3919,3897.6,3896,3893.6,3917,3896
38:20.7,3918.6,3897.6,3896,3893.4,3916.2,3896
38:21.0,3918.2,3897.4,3896,3893.4,3916.4,3896
38:21.5,3918.4,3897.6,3896,3893.6,3916,3896
38:21.9,3918,3897.2,3896,3893.6,3916,3896
38:22.3,3917.8,3897,3896,3893.8,3915.6,3896
38:22.7,3918.2,3897.2,3896,3893.6,3915,3896
38:23.0,3918,3897.4,3896,3893.4,3914.6,3896
38:23.5,3918,3897.4,3896,3893.8,3914.4,3896
38:23.9,3917.8,3897.6,3896,3893.6,3914.4,3896
38:24.3,3918,3897.6,3896,3894,3914.6,3896
38:24.7,3918,3897.6,3896,3893.8,3914.8,3896
38:25.1,3918.2,3897.6,3896,3894,3914.2,3896
38:25.5,3918.4,3897.8,3896,3894,3914.2,3896
38:26.0,3919.2,3897.8,3896,3894,3914,3896
38:26.3,3919,3897.8,3896,3894.4,3914.4,3896
38:26.7,3919,3898,3896,3894.4,3914.4,3896
38:27.1,3918.6,3897.6,3896,3894.4,3914.4,3896
38:27.5,3918.6,3897.6,3896,3894.4,3914.4,3896
38:27.9,3918.6,3897.6,3896,3893.8,3914.2,3896
38:28.3,3918.6,3897.6,3896,3894,3913.8,3896
38:28.7,3918,3897.4,3896,3893.4,3914.2,3896
38:29.1,3917.8,3897.2,3896,3893.4,3914.4,3896
38:29.5,3917.8,3897.4,3896,3892.6,3914.6,3896
38:29.9,3917.8,3897.4,3896,3892,3914.4,3896
38:30.3,3918,3897.2,3896,3892.4,3914.4,3896
38:30.7,3918,3897.4,3896,3891.8,3914.4,3896
38:31.1,3917.6,3897.2,3896,3892.4,3914.4,3896
38:31.5,3918,3897.2,3896,3893,3914.4,3896
38:31.9,3918.2,3897.4,3896,3893,3914.4,3896
38:32.3,3918.8,3897.6,3896,3893.4,3913.8,3896
38:32.7,3919.2,3897.6,3896,3893.6,3913.2,3896
38:33.1,3919.2,3897.6,3896,3893.8,3913.2,3896
38:33.5,3919.4,3897.4,3896,3894.4,3913,3896
38:33.9,3919.4,3897.4,3896,3894.2,3913,3896
38:34.3,3919.6,3897.6,3896,3894.2,3913,3896
38:34.7,3919.6,3897.8,3896,3894.4,3912.8,3896
38:35.1,3919.4,3898.2,3896,3894.2,3913.2,3896
38:35.5,3919.4,3897.8,3896,3894.4,3913.2,3896
38:35.9,3919,3897.4,3896,3894.2,3913.6,3896
38:36.9,3918.6,3897.4,3896,3893.8,3913.8,3896
38:37.3,3918.6,3897.2,3896,3893.8,3914,3896
38:37.7,3918,3897.2,3896,3893.2,3914.2,3896
38:38.1,3918,3897.2,3896,3893.4,3914.2,3896
38:38.5,3917.6,3897,3896,3893.6,3914.6,3896
38:38.9,3917.6,3897,3896,3893.6,3915.2,3896
38:39.3,3917.6,3897,3896,3893.6,3915.2,3896
38:39.6,3917,3897,3896,3893.2,3915.2,3896
38:40.0,3917,3897,3896,3893,3915.2,3896
38:40.4,3917.4,3897,3896,3893.4,3915.2,3896
38:40.8,3918,3897,3896,3893.8,3915.6,3896
38:41.2,3918,3897,3896,3894,3915.6,3896
38:41.6,3917.6,3897,3896,3893.8,3915.4,3896
38:42.0,3917.2,3897,3896,3893.8,3914.8,3896
38:42.4,3917.2,3897,3896,3893.8,3914.8,3896
38:42.8,3917.2,3897,3896,3893.8,3915.2,3896
38:43.2,3917.2,3897,3896,3893.8,3915.2,3896
38:43.6,3917.2,3897,3896,3894,3914.8,3896
38:44.0,3917.2,3897,3896,3894,3914.8,3896
38:44.4,3917.2,3897,3896,3893.8,3914.6,3896
38:44.8,3917.4,3897,3896,3893.6,3915,3896
38:45.2,3917.4,3897,3896,3893.6,3914.8,3896
38:45.6,3917.4,3897,3896,3893.6,3914.8,3896
38:46.0,3917.4,3897,3896,3893.6,3914.4,3896
38:46.4,3917,3897,3896,3893.2,3914.2,3896
38:46.8,3917.4,3897,3896,3893.4,3914.4,3896
38:47.2,3917.4,3897,3896,3893.4,3914.4,3896
38:47.7,3917.2,3897,3896,3893.2,3915.6,3896
38:48.1,3916.8,3897,3896,3893.4,3915.4,3896
38:48.5,3917,3897,3896,3893.6,3914.2,3896
38:48.9,3917,3896.8,3896,3893.8,3914.2,3896
38:49.3,3917.6,3897,3896,3893.8,3913.8,3896
38:49.7,3917.8,3897.2,3896,3893.8,3914,3896
38:50.1,3918.2,3897,3896,3893.8,3914.2,3896
38:50.5,3917.8,3897,3896,3893.8,3914,3896
38:50.9,3917.6,3897,3896,3893.6,3914,3896
38:51.3,3918.2,3897.2,3896,3893.8,3913.6,3896
38:51.7,3918.4,3897.2,3896,3893.6,3913.8,3896
38:52.1,3918.4,3897,3896,3893.8,3913.8,3896
38:52.5,3918.6,3897.2,3896,3893.4,3913.8,3896
38:52.9,3918.6,3897.2,3896,3893.4,3913.8,3896
38:53.3,3918,3897,3896,3893.2,3914.8,3896
38:53.7,3917.8,3897,3896,3893.4,3914.8,3896
38:54.1,3918.6,3897.2,3896,3893.6,3914.4,3896
38:54.6,3918.6,3897.2,3896,3893.6,3913.8,3896
38:55.0,3917.8,3897,3896,3893.2,3914,3896
38:55.4,3917.8,3897,3896,3893.4,3914,3896
38:55.8,3917.6,3897,3896,3893.4,3914,3896
